ssd_count,baseline_mean_gpu_utilization_percent,cir_only_mean_gpu_utilization_percent
1,16.09091948876404,15.035610208508714
2,31.56324636088948,29.665378954792846
3,38.674117267872106,37.19770700194137
4,56.55085884136469,57.782764649826106
5,64.3801790124732,67.88147167163062
6,73.0846125332315,79.85118674686969
7,85.56357541080169,94.23473569880724
8,97.59887814575377,98.75229211453181
9,98.36478293010241,98.9306092615993
10,98.96617552800106,99.1248042380507
