ssd_count,policy,policy_role,C,U,E,metric,value,unit,positive_change_meaning
1,ablation_c0_u1_e0,factorial_cell,0,1,0,byte_count,67257040896,bytes,仅表示数值增加
1,ablation_c0_u1_e0,factorial_cell,0,1,0,cir_dispatch_count,439200,count,仅表示数值增加
1,ablation_c0_u1_e0,factorial_cell,0,1,0,completed_inference_count,128,count,仅表示数值增加
1,ablation_c0_u1_e0,factorial_cell,0,1,0,control_update_non_tick_write_count,0,count,仅表示数值增加
1,ablation_c0_u1_e0,factorial_cell,0,1,0,control_update_period_us_by_storage_target.SSD0,80,,仅表示数值增加
1,ablation_c0_u1_e0,factorial_cell,0,1,0,control_update_tick_aligned_write_count,2188,count,仅表示数值增加
1,ablation_c0_u1_e0,factorial_cell,0,1,0,excess_dispatch_count,16916,count,仅表示数值增加
1,ablation_c0_u1_e0,factorial_cell,0,1,0,group_weight_write_count,0,count,仅表示数值增加
1,ablation_c0_u1_e0,factorial_cell,0,1,0,last_completion_by_ssd_us.SSD0,1681488.92,,仅表示数值增加
1,ablation_c0_u1_e0,factorial_cell,0,1,0,late_gpu_layer_count,512,count,退化（数量增加）
1,ablation_c0_u1_e0,factorial_cell,0,1,0,max_gpu_utilization_percent,49.149314368009875,%,改善
1,ablation_c0_u1_e0,factorial_cell,0,1,0,max_ttft_us,1685365.121923077,us,退化（时间变长）
1,ablation_c0_u1_e0,factorial_cell,0,1,0,mean_actual_read_us,360699.3140000022,us,退化（时间变长）
1,ablation_c0_u1_e0,factorial_cell,0,1,0,mean_gpu_utilization_percent,20.44683804029326,%,改善
1,ablation_c0_u1_e0,factorial_cell,0,1,0,mean_ttft_us,1518836.4186602558,us,退化（时间变长）
1,ablation_c0_u1_e0,factorial_cell,0,1,0,min_gpu_utilization_percent,0.8789440445957227,%,改善
1,ablation_c0_u1_e0,factorial_cell,0,1,0,overall_last_completion_us,1681488.92,us,仅表示数值增加
1,ablation_c0_u1_e0,factorial_cell,0,1,0,p95_delta_us,410887.3549589743,us,退化（超期增加）
1,ablation_c0_u1_e0,factorial_cell,0,1,0,p95_gpu_utilization_percent,43.55128847783914,%,改善
1,ablation_c0_u1_e0,factorial_cell,0,1,0,p95_ttft_us,1663986.289651282,us,退化（时间变长）
1,ablation_c0_u1_e0,factorial_cell,0,1,0,processed_event_count,1394487,count,仅表示数值增加
1,ablation_c0_u1_e0,factorial_cell,0,1,0,queue_weight_write_count,1030,count,仅表示数值增加
1,ablation_c0_u1_e0,factorial_cell,0,1,0,rate_control.active_demand_count,0,count,仅表示数值增加
1,ablation_c0_u1_e0,factorial_cell,0,1,0,rate_control.active_p_node_count,0,count,仅表示数值增加
1,ablation_c0_u1_e0,factorial_cell,0,1,0,rate_control.completed_coflow_count,512,count,仅表示数值增加
1,ablation_c0_u1_e0,factorial_cell,0,1,0,rate_control.compute_layer_count,4,count,仅表示数值增加
1,ablation_c0_u1_e0,factorial_cell,0,1,0,rate_control.coordination_enabled,False,,仅表示数值增加
1,ablation_c0_u1_e0,factorial_cell,0,1,0,rate_control.deadline_allowance_us,750,us,仅表示数值增加
1,ablation_c0_u1_e0,factorial_cell,0,1,0,rate_control.decision_count,1024,count,仅表示数值增加
1,ablation_c0_u1_e0,factorial_cell,0,1,0,rate_control.edf_enabled,False,,仅表示数值增加
1,ablation_c0_u1_e0,factorial_cell,0,1,0,rate_control.feasibility_conflict_count,0,count,仅表示数值增加
1,ablation_c0_u1_e0,factorial_cell,0,1,0,rate_control.finite_selected_pir,False,,仅表示数值增加
1,ablation_c0_u1_e0,factorial_cell,0,1,0,rate_control.initial_decision_count,382,count,仅表示数值增加
1,ablation_c0_u1_e0,factorial_cell,0,1,0,rate_control.p_node_count,128,count,仅表示数值增加
1,ablation_c0_u1_e0,factorial_cell,0,1,0,rate_control.peak_assigned_cir_bytes_per_second.SSD0,40000000000,,仅表示数值增加
1,ablation_c0_u1_e0,factorial_cell,0,1,0,rate_control.prefetch_decision_count,641,count,仅表示数值增加
1,ablation_c0_u1_e0,factorial_cell,0,1,0,rate_control.score_mode,integer,,仅表示数值增加
1,ablation_c0_u1_e0,factorial_cell,0,1,0,rate_control.selection_change_count,516,count,仅表示数值增加
1,ablation_c0_u1_e0,factorial_cell,0,1,0,rate_control.starved_p_node_count,0,count,仅表示数值增加
1,ablation_c0_u1_e0,factorial_cell,0,1,0,rate_control.strategy,ablation_c0_u1_e0,,仅表示数值增加
1,ablation_c0_u1_e0,factorial_cell,0,1,0,rate_control.utility_enabled,True,,仅表示数值增加
1,ablation_c0_u1_e0,factorial_cell,0,1,0,rate_control_write_count,1158,count,仅表示数值增加
1,ablation_c0_u1_e0,factorial_cell,0,1,0,request_count,456116,count,仅表示数值增加
1,ablation_c0_u1_e0,factorial_cell,0,1,0,starvation_free,True,,仅表示数值增加
1,ablation_c0_u1_e0,factorial_cell,0,1,0,wall_time_seconds,72.80371181300143,s,仅表示数值增加
1,ablation_c0_u1_e0,factorial_cell,0,1,0,worst_delta_us,420419.4032,us,退化（超期增加）
1,ablation_c0_u1_e1,factorial_cell,0,1,1,byte_count,67257040896,bytes,仅表示数值增加
1,ablation_c0_u1_e1,factorial_cell,0,1,1,cir_dispatch_count,439215,count,仅表示数值增加
1,ablation_c0_u1_e1,factorial_cell,0,1,1,completed_inference_count,128,count,仅表示数值增加
1,ablation_c0_u1_e1,factorial_cell,0,1,1,control_update_non_tick_write_count,0,count,仅表示数值增加
1,ablation_c0_u1_e1,factorial_cell,0,1,1,control_update_period_us_by_storage_target.SSD0,80,,仅表示数值增加
1,ablation_c0_u1_e1,factorial_cell,0,1,1,control_update_tick_aligned_write_count,2188,count,仅表示数值增加
1,ablation_c0_u1_e1,factorial_cell,0,1,1,excess_dispatch_count,16901,count,仅表示数值增加
1,ablation_c0_u1_e1,factorial_cell,0,1,1,group_weight_write_count,0,count,仅表示数值增加
1,ablation_c0_u1_e1,factorial_cell,0,1,1,last_completion_by_ssd_us.SSD0,1681488.92,,仅表示数值增加
1,ablation_c0_u1_e1,factorial_cell,0,1,1,late_gpu_layer_count,207,count,退化（数量增加）
1,ablation_c0_u1_e1,factorial_cell,0,1,1,max_gpu_utilization_percent,99.54353454875223,%,改善
1,ablation_c0_u1_e1,factorial_cell,0,1,1,max_ttft_us,1685365.121923077,us,退化（时间变长）
1,ablation_c0_u1_e1,factorial_cell,0,1,1,mean_actual_read_us,208932.03218824117,us,退化（时间变长）
1,ablation_c0_u1_e1,factorial_cell,0,1,1,mean_gpu_utilization_percent,46.52339177688295,%,改善
1,ablation_c0_u1_e1,factorial_cell,0,1,1,mean_ttft_us,921478.1345205131,us,退化（时间变长）
1,ablation_c0_u1_e1,factorial_cell,0,1,1,min_gpu_utilization_percent,0.9126431436399352,%,改善
1,ablation_c0_u1_e1,factorial_cell,0,1,1,overall_last_completion_us,1681488.92,us,仅表示数值增加
1,ablation_c0_u1_e1,factorial_cell,0,1,1,p95_delta_us,1221267.6848,us,退化（超期增加）
