ssd_count,metric,metric_label_cn,factor,factor_label_cn,shapley_contribution,unit,total_111_minus_000,three_factor_sum,efficiency_residual,positive_change_meaning
1,mean_gpu_utilization_percent,平均 GPU 利用率,C,跨 SSD Coflow 一致性,0.0,pp,27.01308048290995,27.01308048290995,0.0,改善
1,mean_gpu_utilization_percent,平均 GPU 利用率,U,Stage-0 Utility Density,5.3689279805781736,pp,27.01308048290995,27.01308048290995,0.0,改善
1,mean_gpu_utilization_percent,平均 GPU 利用率,E,Prefetch EDF 与 deadline 保护,21.644152502331774,pp,27.01308048290995,27.01308048290995,0.0,改善
1,min_gpu_utilization_percent,最低 GPU 利用率,C,跨 SSD Coflow 一致性,0.0,pp,-0.06236900360791475,-0.06236900360791475,0.0,改善
1,min_gpu_utilization_percent,最低 GPU 利用率,U,Stage-0 Utility Density,-0.346317137034221,pp,-0.06236900360791475,-0.06236900360791475,0.0,改善
1,min_gpu_utilization_percent,最低 GPU 利用率,E,Prefetch EDF 与 deadline 保护,0.28394813342630626,pp,-0.06236900360791475,-0.06236900360791475,0.0,改善
1,p95_gpu_utilization_percent,P95 GPU 利用率,C,跨 SSD Coflow 一致性,0.0,pp,55.94447402828824,55.94447402828824,0.0,改善
1,p95_gpu_utilization_percent,P95 GPU 利用率,U,Stage-0 Utility Density,6.945449091930733,pp,55.94447402828824,55.94447402828824,0.0,改善
1,p95_gpu_utilization_percent,P95 GPU 利用率,E,Prefetch EDF 与 deadline 保护,48.99902493635751,pp,55.94447402828824,55.94447402828824,0.0,改善
1,max_gpu_utilization_percent,最高 GPU 利用率,C,跨 SSD Coflow 一致性,0.0,pp,51.12918491643009,51.12918491643009,0.0,改善
1,max_gpu_utilization_percent,最高 GPU 利用率,U,Stage-0 Utility Density,0.9178712723756668,pp,51.12918491643009,51.12918491643009,0.0,改善
1,max_gpu_utilization_percent,最高 GPU 利用率,E,Prefetch EDF 与 deadline 保护,50.21131364405443,pp,51.12918491643009,51.12918491643009,0.0,改善
1,mean_ttft_us,平均 TTFT,C,跨 SSD Coflow 一致性,0.0,us,-624981.8329397432,-624981.8329397433,1.1641532182693481e-10,退化（时间变长）
1,mean_ttft_us,平均 TTFT,U,Stage-0 Utility Density,-72587.55804921914,us,-624981.8329397432,-624981.8329397433,1.1641532182693481e-10,退化（时间变长）
1,mean_ttft_us,平均 TTFT,E,Prefetch EDF 与 deadline 保护,-552394.2748905241,us,-624981.8329397432,-624981.8329397433,1.1641532182693481e-10,退化（时间变长）
1,p95_ttft_us,P95 TTFT,C,跨 SSD Coflow 一致性,0.0,us,-171165.14679487166,-171165.14679487166,0.0,退化（时间变长）
1,p95_ttft_us,P95 TTFT,U,Stage-0 Utility Density,-197819.985325641,us,-171165.14679487166,-171165.14679487166,0.0,退化（时间变长）
1,p95_ttft_us,P95 TTFT,E,Prefetch EDF 与 deadline 保护,26654.83853076934,us,-171165.14679487166,-171165.14679487166,0.0,退化（时间变长）
1,max_ttft_us,Max TTFT,C,跨 SSD Coflow 一致性,0.0,us,-136481.86178461532,-136481.86178461532,0.0,退化（时间变长）
1,max_ttft_us,Max TTFT,U,Stage-0 Utility Density,-284776.74469230755,us,-136481.86178461532,-136481.86178461532,0.0,退化（时间变长）
1,max_ttft_us,Max TTFT,E,Prefetch EDF 与 deadline 保护,148294.88290769223,us,-136481.86178461532,-136481.86178461532,0.0,退化（时间变长）
1,late_gpu_layer_count,逾期 GPU layer 数,C,跨 SSD Coflow 一致性,0.0,count,-305.0,-305.0,0.0,退化（数量增加）
1,late_gpu_layer_count,逾期 GPU layer 数,U,Stage-0 Utility Density,-22.0,count,-305.0,-305.0,0.0,退化（数量增加）
1,late_gpu_layer_count,逾期 GPU layer 数,E,Prefetch EDF 与 deadline 保护,-283.0,count,-305.0,-305.0,0.0,退化（数量增加）
1,p95_delta_us,P95 预取超期量,C,跨 SSD Coflow 一致性,0.0,us,810380.3298410256,810380.3298410256,0.0,退化（超期增加）
1,p95_delta_us,P95 预取超期量,U,Stage-0 Utility Density,-19097.395200000057,us,810380.3298410256,810380.3298410256,0.0,退化（超期增加）
1,p95_delta_us,P95 预取超期量,E,Prefetch EDF 与 deadline 保护,829477.7250410257,us,810380.3298410256,810380.3298410256,0.0,退化（超期增加）
1,worst_delta_us,最坏预取超期量,C,跨 SSD Coflow 一致性,0.0,us,1231784.7552,1231784.7552,0.0,退化（超期增加）
1,worst_delta_us,最坏预取超期量,U,Stage-0 Utility Density,71001.90720000002,us,1231784.7552,1231784.7552,0.0,退化（超期增加）
1,worst_delta_us,最坏预取超期量,E,Prefetch EDF 与 deadline 保护,1160782.848,us,1231784.7552,1231784.7552,0.0,退化（超期增加）
1,mean_actual_read_us,平均实际读取时间,C,跨 SSD Coflow 一致性,0.0,us,-158673.16901176106,-158673.16901176103,-2.9103830456733704e-11,退化（时间变长）
1,mean_actual_read_us,平均实际读取时间,U,Stage-0 Utility Density,-16938.531125781286,us,-158673.16901176106,-158673.16901176103,-2.9103830456733704e-11,退化（时间变长）
1,mean_actual_read_us,平均实际读取时间,E,Prefetch EDF 与 deadline 保护,-141734.63788597976,us,-158673.16901176106,-158673.16901176103,-2.9103830456733704e-11,退化（时间变长）
2,mean_gpu_utilization_percent,平均 GPU 利用率,C,跨 SSD Coflow 一致性,-0.13656472212368342,pp,24.036787860808026,24.036787860808026,0.0,改善
2,mean_gpu_utilization_percent,平均 GPU 利用率,U,Stage-0 Utility Density,4.916927575017702,pp,24.036787860808026,24.036787860808026,0.0,改善
2,mean_gpu_utilization_percent,平均 GPU 利用率,E,Prefetch EDF 与 deadline 保护,19.256425007914007,pp,24.036787860808026,24.036787860808026,0.0,改善
2,min_gpu_utilization_percent,最低 GPU 利用率,C,跨 SSD Coflow 一致性,-0.031895787757679726,pp,-0.14409237833187882,-0.14409237833187882,0.0,改善
2,min_gpu_utilization_percent,最低 GPU 利用率,U,Stage-0 Utility Density,-0.7563575105724322,pp,-0.14409237833187882,-0.14409237833187882,0.0,改善
2,min_gpu_utilization_percent,最低 GPU 利用率,E,Prefetch EDF 与 deadline 保护,0.6441609199982331,pp,-0.14409237833187882,-0.14409237833187882,0.0,改善
2,p95_gpu_utilization_percent,P95 GPU 利用率,C,跨 SSD Coflow 一致性,-0.34026950274053763,pp,23.960067879902113,23.960067879902113,0.0,改善
2,p95_gpu_utilization_percent,P95 GPU 利用率,U,Stage-0 Utility Density,4.511701229700011,pp,23.960067879902113,23.960067879902113,0.0,改善
2,p95_gpu_utilization_percent,P95 GPU 利用率,E,Prefetch EDF 与 deadline 保护,19.78863615294264,pp,23.960067879902113,23.960067879902113,0.0,改善
2,max_gpu_utilization_percent,最高 GPU 利用率,C,跨 SSD Coflow 一致性,-0.3280405659990204,pp,13.41952412330204,13.41952412330204,0.0,改善
2,max_gpu_utilization_percent,最高 GPU 利用率,U,Stage-0 Utility Density,0.6236773343147609,pp,13.41952412330204,13.41952412330204,0.0,改善
2,max_gpu_utilization_percent,最高 GPU 利用率,E,Prefetch EDF 与 deadline 保护,13.1238873549863,pp,13.41952412330204,13.41952412330204,0.0,改善
2,mean_ttft_us,平均 TTFT,C,跨 SSD Coflow 一致性,6082.2412130477605,us,-243431.78811398195,-243431.78811398195,0.0,退化（时间变长）
2,mean_ttft_us,平均 TTFT,U,Stage-0 Utility Density,-38229.34258709254,us,-243431.78811398195,-243431.78811398195,0.0,退化（时间变长）
2,mean_ttft_us,平均 TTFT,E,Prefetch EDF 与 deadline 保护,-211284.68673993717,us,-243431.78811398195,-243431.78811398195,0.0,退化（时间变长）
2,p95_ttft_us,P95 TTFT,C,跨 SSD Coflow 一致性,10089.74163589743,us,-118573.94596410263,-118573.94596410263,0.0,退化（时间变长）
2,p95_ttft_us,P95 TTFT,U,Stage-0 Utility Density,-203553.26511794864,us,-118573.94596410263,-118573.94596410263,0.0,退化（时间变长）
2,p95_ttft_us,P95 TTFT,E,Prefetch EDF 与 deadline 保护,74889.57751794858,us,-118573.94596410263,-118573.94596410263,0.0,退化（时间变长）
2,max_ttft_us,Max TTFT,C,跨 SSD Coflow 一致性,10323.36561709398,us,-135158.94561538473,-135158.94561538473,0.0,退化（时间变长）
2,max_ttft_us,Max TTFT,U,Stage-0 Utility Density,-321291.5395649572,us,-135158.94561538473,-135158.94561538473,0.0,退化（时间变长）
2,max_ttft_us,Max TTFT,E,Prefetch EDF 与 deadline 保护,175809.2283324785,us,-135158.94561538473,-135158.94561538473,0.0,退化（时间变长）
2,late_gpu_layer_count,逾期 GPU layer 数,C,跨 SSD Coflow 一致性,-36.166666666666664,count,-292.0,-292.0,0.0,退化（数量增加）
2,late_gpu_layer_count,逾期 GPU layer 数,U,Stage-0 Utility Density,-7.666666666666667,count,-292.0,-292.0,0.0,退化（数量增加）
2,late_gpu_layer_count,逾期 GPU layer 数,E,Prefetch EDF 与 deadline 保护,-248.16666666666666,count,-292.0,-292.0,0.0,退化（数量增加）
2,p95_delta_us,P95 预取超期量,C,跨 SSD Coflow 一致性,9559.496331623968,us,366507.1383641026,366507.1383641026,0.0,退化（超期增加）
2,p95_delta_us,P95 预取超期量,U,Stage-0 Utility Density,-19299.20470427351,us,366507.1383641026,366507.1383641026,0.0,退化（超期增加）
2,p95_delta_us,P95 预取超期量,E,Prefetch EDF 与 deadline 保护,376246.84673675214,us,366507.1383641026,366507.1383641026,0.0,退化（超期增加）
2,worst_delta_us,最坏预取超期量,C,跨 SSD Coflow 一致性,10114.005333333314,us,634659.4816,634659.4816,0.0,退化（超期增加）
2,worst_delta_us,最坏预取超期量,U,Stage-0 Utility Density,57418.97813333333,us,634659.4816,634659.4816,0.0,退化（超期增加）
2,worst_delta_us,最坏预取超期量,E,Prefetch EDF 与 deadline 保护,567126.4981333334,us,634659.4816,634659.4816,0.0,退化（超期增加）
2,mean_actual_read_us,平均实际读取时间,C,跨 SSD Coflow 一致性,1448.146147622967,us,-62694.56710823301,-62694.56710823301,0.0,退化（时间变长）
2,mean_actual_read_us,平均实际读取时间,U,Stage-0 Utility Density,-6050.385850769628,us,-62694.56710823301,-62694.56710823301,0.0,退化（时间变长）
2,mean_actual_read_us,平均实际读取时间,E,Prefetch EDF 与 deadline 保护,-58092.32740508635,us,-62694.56710823301,-62694.56710823301,0.0,退化（时间变长）
3,mean_gpu_utilization_percent,平均 GPU 利用率,C,跨 SSD Coflow 一致性,-0.24460707384535021,pp,17.802101513044683,17.802101513044683,0.0,改善
3,mean_gpu_utilization_percent,平均 GPU 利用率,U,Stage-0 Utility Density,4.385369894930926,pp,17.802101513044683,17.802101513044683,0.0,改善
3,mean_gpu_utilization_percent,平均 GPU 利用率,E,Prefetch EDF 与 deadline 保护,13.661338691959108,pp,17.802101513044683,17.802101513044683,0.0,改善
3,min_gpu_utilization_percent,最低 GPU 利用率,C,跨 SSD Coflow 一致性,-0.12252498638593634,pp,-0.22177641177038998,-0.22177641177038998,0.0,改善
3,min_gpu_utilization_percent,最低 GPU 利用率,U,Stage-0 Utility Density,-1.3179999290922502,pp,-0.22177641177038998,-0.22177641177038998,0.0,改善
3,min_gpu_utilization_percent,最低 GPU 利用率,E,Prefetch EDF 与 deadline 保护,1.2187485037077965,pp,-0.22177641177038998,-0.22177641177038998,0.0,改善
3,p95_gpu_utilization_percent,P95 GPU 利用率,C,跨 SSD Coflow 一致性,-0.32140172595445904,pp,4.94444160712618,4.94444160712618,0.0,改善
3,p95_gpu_utilization_percent,P95 GPU 利用率,U,Stage-0 Utility Density,2.280314450291648,pp,4.94444160712618,4.94444160712618,0.0,改善
3,p95_gpu_utilization_percent,P95 GPU 利用率,E,Prefetch EDF 与 deadline 保护,2.9855288827889908,pp,4.94444160712618,4.94444160712618,0.0,改善
3,max_gpu_utilization_percent,最高 GPU 利用率,C,跨 SSD Coflow 一致性,0.2371531429636562,pp,0.18336255931357925,0.18336255931357925,0.0,改善
3,max_gpu_utilization_percent,最高 GPU 利用率,U,Stage-0 Utility Density,-0.829783033018316,pp,0.18336255931357925,0.18336255931357925,0.0,改善
3,max_gpu_utilization_percent,最高 GPU 利用率,E,Prefetch EDF 与 deadline 保护,0.7759924493682391,pp,0.18336255931357925,0.18336255931357925,0.0,改善
3,mean_ttft_us,平均 TTFT,C,跨 SSD Coflow 一致性,5633.628325681096,us,-119927.04607447924,-119927.04607447924,0.0,退化（时间变长）
3,mean_ttft_us,平均 TTFT,U,Stage-0 Utility Density,-26972.37243595756,us,-119927.04607447924,-119927.04607447924,0.0,退化（时间变长）
3,mean_ttft_us,平均 TTFT,E,Prefetch EDF 与 deadline 保护,-98588.30196420278,us,-119927.04607447924,-119927.04607447924,0.0,退化（时间变长）
3,p95_ttft_us,P95 TTFT,C,跨 SSD Coflow 一致性,-1259.1052683760452,us,2186.7298820513533,2186.7298820513533,0.0,退化（时间变长）
3,p95_ttft_us,P95 TTFT,U,Stage-0 Utility Density,-102073.02517350424,us,2186.7298820513533,2186.7298820513533,0.0,退化（时间变长）
3,p95_ttft_us,P95 TTFT,E,Prefetch EDF 与 deadline 保护,105518.86032393164,us,2186.7298820513533,2186.7298820513533,0.0,退化（时间变长）
3,max_ttft_us,Max TTFT,C,跨 SSD Coflow 一致性,-3249.5912102564275,us,-34956.0420923077,-34956.0420923077,0.0,退化（时间变长）
3,max_ttft_us,Max TTFT,U,Stage-0 Utility Density,-180747.86728717937,us,-34956.0420923077,-34956.0420923077,0.0,退化（时间变长）
3,max_ttft_us,Max TTFT,E,Prefetch EDF 与 deadline 保护,149041.41640512808,us,-34956.0420923077,-34956.0420923077,0.0,退化（时间变长）
3,late_gpu_layer_count,逾期 GPU layer 数,C,跨 SSD Coflow 一致性,-29.166666666666668,count,-241.0,-241.0,0.0,退化（数量增加）
3,late_gpu_layer_count,逾期 GPU layer 数,U,Stage-0 Utility Density,-2.1666666666666665,count,-241.0,-241.0,0.0,退化（数量增加）
3,late_gpu_layer_count,逾期 GPU layer 数,E,Prefetch EDF 与 deadline 保护,-209.66666666666666,count,-241.0,-241.0,0.0,退化（数量增加）
3,p95_delta_us,P95 预取超期量,C,跨 SSD Coflow 一致性,2951.7482341880145,us,199131.776,199131.776,0.0,退化（超期增加）
