ssd_count,baseline_mean_gpu_utilization_percent,cir_only_mean_gpu_utilization_percent,utility_edf_integer_l750_mean_gpu_utilization_percent
1,32.25905723617664,27.446509210686674,94.26239243381221
2,57.81328467545761,48.772417765756025,94.63365725850929
3,66.76660872244045,53.49662510608648,94.45571935038404
4,80.50671157262234,67.1631961427485,94.26289747413354
5,84.03459157234558,78.36011036125903,91.82159370105956
