ssd_count,baseline_mean_observation_window_gpu_utilization_percent,cir_only_mean_observation_window_gpu_utilization_percent,utility_edf_integer_l750_mean_observation_window_gpu_utilization_percent
1,31.10062829908324,26.191534828246862,39.4487903205776
2,55.67880296522024,44.62721107615458,61.10342794961165
3,64.58290626497974,51.95627274958204,70.08751630150276
4,80.78677869772395,62.412205843813226,86.90938503192098
5,85.77726700272807,68.25916624992679,91.68293696849861
