ssd_count,baseline_mean_gpu_utilization_percent,cir_only_mean_gpu_utilization_percent
2,31.563246360889472,77.05666621018254
4,56.55085884136471,85.88229005912731
8,97.59887814575377,97.85449543318992
12,99.61451607943687,99.36786414011495
14,99.96374591437811,99.81146612281306
16,100.0,99.89528658708167
20,100.0,99.90246935967477
