policy,gpu_count,ssd_count,inference_count,request_count,mean_ttft_us,p50_ttft_us,p95_ttft_us,max_ttft_us,mean_ssd_stall_us,mean_ssd_bandwidth_gb_s,cir_dispatched_requests,excess_dispatched_requests,peak_waiting_demands_per_ssd,rate_control_write_count,event_count,wall_time_s
baseline,64,1,64,66180,209428.1627916667,206051.28205128206,292307.6923076923,377005.1282051282,57414.70125320512,39.98969013703042,0,66180,0,0,10859345,105.4104123020079
demand_aware_fifo,64,1,64,66180,215495.40376730778,199958.1936,387186.584,480226.584,63481.942228846136,20.324289300785694,66180,0,38,128,15602056,335.2019667309942
baseline,64,2,64,66180,163357.74652692312,149189.7435897436,292307.6923076923,377005.1282051282,11344.284988461535,39.97938554033638,0,66180,0,0,10861992,107.33161265999661
demand_aware_fifo,64,2,64,66180,171443.26184487186,161067.1344,345986.584,481186.584,19429.800306410252,11.482536571246454,66180,0,6,256,16741378,413.8284171450068
baseline,64,3,64,66180,155039.46177179491,149189.7435897436,292307.6923076923,377005.1282051282,3026.0002333333337,39.96908595189546,0,66180,0,0,10864639,106.74584197899094
demand_aware_fifo,64,3,64,66180,176537.21680000005,157277.6432,337346.584,480946.584,24523.755261538467,7.984757820362301,66180,0,0,384,18372611,522.4111321759992
